fas_id,course_code,course_title,department,rating,hours_per_week,num_students,semester,num_semesters_offered,rating_category,workload_category,size_category
000016,PHIL 16,"Sex, Love, and Friendship 001",PHIL,4.38,3.82,102,2024Spring,1,Good,Light,Large
000031,PHIL 31,"Saints, Heretics, and Atheists: A Historical Introduction to the Philosophy of Religion 001",PHIL,4.75,4.26,32,2024Spring,1,Excellent,Moderate,Medium
000168,MUSIC 168,Analog Synthesizer and the Digital Age SEM,MUSIC,4.83,4.67,10,2024Spring,1,Excellent,Moderate,Small
000169,PHIL 169,Nozick's Philosophical Explanations 001,PHIL,4.89,6.28,20,2024Spring,1,Excellent,Moderate,Medium
000172,MUSIC 172R,Performer-Composer Collaborative 001,MUSIC,3.8,3.0,10,2022Fall,1,Satisfactory,Light,Small
000176,PHIL 176G,Groups in Political Philosophy (Proseminar) 001,PHIL,4.47,6.25,19,2022Fall,1,Good,Moderate,Medium
000177,MUSIC 177R,Creative Music: Advanced Ensemble Workshop 001,MUSIC,4.55,5.45,20,2024Spring,2,Excellent,Moderate,Medium
000185,PHIL 185,Philosophy and Architecture 001,PHIL,4.18,5.36,15,2024Fall,2,Good,Moderate,Medium
000187,MUSIC 187R,Opera Workshop STO,MUSIC,4.9,5.89,15,2024Spring,1,Excellent,Moderate,Medium
000188,MUSIC 188R,Composer-Performers of the African Diaspora LEC,MUSIC,4.7,3.38,19,2023Fall,2,Excellent,Light,Medium
000291,MUSIC 291R,Music and Migration SEM,MUSIC,5.0,9.0,10,2023Spring,1,Excellent,Heavy,Small
107340,FRSEMR 26F,Dreams: Our Mind by Night 001,FRSEMR,3.9,1.7,13,2022Fall,1,Satisfactory,Light,Small
107341,GENED 1076,Equity and Excellence in K12 American Schools 001,GENED,4.55,5.04,73,2022Fall,1,Excellent,Moderate,Large
107349,MODMDEST 100,"The Modern Middle East, Real and Imagined: An Introduction 001",MODMDEST,4.75,7.0,9,2025Spring,2,Excellent,Moderate,Small
107368,PHYSCI 11,Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective LEC,PHYSCI,3.48,8.58,338,2025Spring,3,Below Average,Heavy,Large
107378,SAS 100R,"South Asian Language Tutorials, Introductory Level 004",SAS,5.0,2.2,6,2022Fall,1,Excellent,Light,Small
107388,ECON 1936,Keynes 001,ECON,4.31,6.71,26,2024Fall,2,Good,Moderate,Medium
107400,CELLBIO 306QC,Teaching 100: The Theory and Science of Teaching 001,CELLBIO,4.8,4.22,20,2024Fall,3,Excellent,Moderate,Medium
107425,ECON 1450,The Political Economy of Religion 001,ECON,3.86,6.14,19,2025Spring,3,Satisfactory,Moderate,Medium
107464,GENED 1011,Contemporary Developing Countries: Entrepreneurial Solutions to Intractable Problems 001,GENED,3.28,5.42,97,2023Fall,2,Below Average,Moderate,Large
107602,PSY 1503,Psychology of Close Relationships 001,PSY,4.6,2.49,201,2023Spring,1,Excellent,Light,Large
107619,HISTSCI 1885,Communicating Science 001,HISTSCI,4.92,5.17,14,2023Fall,1,Excellent,Moderate,Small
107669,GENED 1033,Conflict Resolution in a Divided World 001,GENED,4.61,3.82,73,2022Fall,1,Excellent,Light,Large
107675,ECON 980W,Economic Aspects of Health Policy 001,ECON,4.36,4.45,14,2023Fall,2,Good,Moderate,Small
107702,CHEM 171,Biological Synthesis LEC,CHEM,4.33,8.67,32,2025Spring,2,Good,Heavy,Medium
107706,PSY 2410R,Laboratory Research on Emotional Disorders 001,PSY,4.4,2.0,9,2025Spring,3,Good,Light,Small
107709,CHEM 255,Practical Crystallography in Chemistry and Materials Science LEC,CHEM,3.2,6.4,8,2025Spring,2,Below Average,Moderate,Small
107755,NEUROBIO 230,Visual Recognition: Computational and biophysical perspective 001,NEUROBIO,4.2,4.8,7,2023Fall,1,Good,Moderate,Small
107770,GOV 3005A,Research Workshop in International Relations 001,GOV,5.0,0,17,2024Fall,3,Excellent,Light,Medium
107798,GOV 2032,Capitalism and its Critics 001,GOV,4.0,7.45,19,2023Spring,1,Good,Moderate,Medium
107821,GENED 1120,The Political Economy of Globalization 001,GENED,3.53,4.83,175,2023Fall,2,Satisfactory,Moderate,Large
107843,HBTM 200,Pathology of Human Disease 001,HBTM,4.4,2.9,18,2025Spring,3,Good,Light,Medium
107859,RELIGION 40,Incarnation and Desire 1,RELIGION,4.86,4.86,10,2023Fall,1,Excellent,Moderate,Small
107880,GENED 1030,The Philosopher and the Tyrant 001,GENED,3.91,4.26,48,2023Spring,1,Satisfactory,Moderate,Medium
107899,PHYSICS 302A,Teaching and Communicating Physics 001S,PHYSICS,3.44,1.75,36,2025Spring,3,Below Average,Light,Medium
107925,HIST 1911,Pacific History 01,HIST,4.67,7.0,14,2025Spring,1,Excellent,Moderate,Small
107972,HIST 89J,The United States and China: Opium War to the Present 01,HIST,4.71,5.83,10,2025Spring,3,Excellent,Moderate,Small
