fas_id,course_code,department,semester,rating,hours_per_week,num_students,num_sections
000016,PHIL 16,PHIL,2024Spring,4.38,3.82,102,1
000031,PHIL 31,PHIL,2024Spring,4.75,4.26,32,1
000168,MUSIC 168,MUSIC,2024Spring,4.83,4.67,10,1
000169,PHIL 169,PHIL,2024Spring,4.89,6.28,20,1
000172,MUSIC 172R,MUSIC,2022Fall,3.8,3.0,10,1
000176,PHIL 176G,PHIL,2022Fall,4.47,6.25,19,1
000177,MUSIC 177,MUSIC,2023Spring,5.0,4.36,23,1
000177,MUSIC 177R,MUSIC,2024Spring,4.55,5.45,20,1
000185,PHIL 185,PHIL,2023Fall,4.25,4.57,12,1
000185,PHIL 185,PHIL,2024Fall,4.18,5.36,15,1
000187,MUSIC 187R,MUSIC,2024Spring,4.9,5.89,15,1
000188,MUSIC 188R,MUSIC,2022Fall,4.86,2.86,13,1
000188,MUSIC 188R,MUSIC,2023Fall,4.7,3.38,19,2
000291,MUSIC 291R,MUSIC,2023Spring,5.0,9.0,10,3
107340,FRSEMR 26F,FRSEMR,2022Fall,3.9,1.7,13,1
107341,GENED 1076,GENED,2022Fall,4.55,5.04,73,1
107349,MODMDEST 100,MODMDEST,2023Fall,4.07,6.4,17,1
107349,MODMDEST 100,MODMDEST,2025Spring,4.75,7.0,9,1
107368,PHYSCI 11,PHYSCI,2023Spring,3.57,7.96,397,2
107368,PHYSCI 11,PHYSCI,2024Spring,3.05,8.04,345,3
107368,PHYSCI 11,PHYSCI,2025Spring,3.48,8.58,338,4
107378,SAS 100R,SAS,2022Fall,5.0,2.2,6,1
107388,ECON 1936,ECON,2023Fall,4.73,4.27,16,1
107388,ECON 1936,ECON,2024Fall,4.31,6.71,26,1
107400,CELLBIO 306QC,CELLBIO,2022Fall,4.78,5.71,26,1
107400,CELLBIO 306QC,CELLBIO,2023Fall,4.67,5.22,15,1
107400,CELLBIO 306QC,CELLBIO,2024Fall,4.8,4.22,20,1
107425,ECON 1450,ECON,2023Spring,4.88,7.43,10,2
107425,ECON 1450,ECON,2024Spring,3.83,5.88,25,2
107425,ECON 1450,ECON,2025Spring,3.86,6.14,19,2
107464,GENED 1011,GENED,2022Fall,4.18,5.65,69,2
107464,GENED 1011,GENED,2023Fall,3.28,5.42,97,2
107602,PSY 1503,PSY,2023Spring,4.6,2.49,201,1
107619,HISTSCI 1885,HISTSCI,2023Fall,4.92,5.17,14,1
107669,GENED 1033,GENED,2022Fall,4.61,3.82,73,1
107675,ECON 980W,ECON,2023Spring,5.0,6.2,5,1
107675,ECON 980W,ECON,2023Fall,4.36,4.45,14,1
107702,CHEM 171,CHEM,2024Spring,4.21,8.0,17,1
107702,CHEM 171,CHEM,2025Spring,4.33,8.67,32,1
107706,PSY 2410R,PSY,2022Fall,5.0,4.0,9,1
