department,num_courses,avg_rating,avg_hours,avg_enrollment,total_enrollment
ARMENST,4,5.0,4.48,10.0,38
MODGRK,4,4.95,2.35,8.0,34
VIETNAM,6,4.93,4.45,11.0,65
WSTAFRCN,3,4.93,2.91,13.0,40
FT,3,4.9,4.7,10.0,29
JAPNLIT,6,4.89,6.25,12.0,73
SWEDISH,3,4.88,4.89,6.0,19
TURKISH,3,4.86,8.43,7.0,20
ISLAMCIV,10,4.84,6.27,12.0,124
JAPAN,12,4.82,7.54,8.0,102
RSRA,4,4.79,4.62,9.0,36
SANSKRIT,5,4.79,8.47,7.0,34
CHNSE,24,4.78,6.68,10.0,242
HIND-URD,6,4.78,5.0,12.0,70
CLASPHIL,5,4.77,6.84,12.0,62
PORTUG,9,4.76,4.05,7.0,63
GHHP,5,4.76,3.46,24.0,120
CPB,3,4.76,16.01,8.0,24
ITAL,12,4.72,6.78,12.0,145
EAFM,8,4.71,5.71,14.0,116
CHNSHIS,7,4.71,8.64,15.0,106
RUSS,14,4.71,8.83,8.0,106
YORUBA,3,4.71,4.26,19.0,57
CHNSLIT,13,4.69,7.97,13.0,169
WOMGEN,26,4.69,5.07,14.0,359
SOC-STD,43,4.68,6.22,14.0,592
ARABIC,14,4.68,8.47,8.0,109
CELTIC,8,4.68,2.94,22.0,180
CLASARCH,4,4.67,3.52,30.0,118
GREEK,13,4.66,6.58,9.0,113
HUMAN,4,4.66,7.4,54.0,217
SLAVIC,24,4.66,5.52,14.0,328
ENGLISH,159,4.65,5.63,18.0,2930
EXPOS,4,4.65,4.98,11.0,43
EASTD,14,4.63,5.27,17.0,234
HISTSCI,66,4.62,6.16,22.0,1424
GERMAN,31,4.62,6.32,15.0,459
EMR,31,4.62,4.52,15.0,465
NEURO,33,4.61,4.94,30.0,1006
KOREAN,9,4.6,7.19,11.0,103
MBB,14,4.58,3.92,13.0,178
LATIN,19,4.58,6.3,11.0,207
GENETIC,3,4.58,6.61,51.0,152
ROM-STD,11,4.58,5.14,14.0,155
AMHARIC,3,4.58,2.39,9.0,28
AFRAMER,46,4.57,5.67,16.0,724
HEB,33,4.57,4.21,17.0,565
ANE,12,4.57,5.29,10.0,114
HAA,78,4.55,6.13,16.0,1234
HIST-LIT,54,4.55,4.97,12.0,652
MODMDEST,18,4.54,5.37,15.0,264
SCRB,18,4.54,5.19,45.0,816
EDST,16,4.54,4.31,16.0,260
PSY,110,4.53,4.54,26.0,2821
ANTHRO,75,4.53,6.55,15.0,1095
AFVS,90,4.52,6.94,12.0,1085
E-PSCI,41,4.52,5.42,14.0,592
SPANSH,40,4.52,5.16,13.0,524
FOLKMYTH,10,4.52,5.15,18.0,182
SWAHILI,5,4.52,5.64,9.0,44
RELIGION,34,4.51,5.09,12.0,414
HIST,175,4.51,6.68,18.0,3140
COMPLIT,50,4.51,5.35,19.0,963
TDM,58,4.51,4.38,14.0,806
FRENCH,28,4.5,6.09,11.0,296
MEDVLSTD,6,4.49,5.64,10.0,59
MUSIC,58,4.48,4.99,15.0,893
CLS-STDY,16,4.48,4.61,22.0,353
FYSEMR,137,4.46,3.45,11.0,1495
ASTRON,23,4.45,7.47,15.0,350
JEWISHST,5,4.45,4.85,7.0,36
ESE,16,4.44,6.52,19.0,297
PHIL,76,4.43,5.68,23.0,1785
GOV,187,4.43,5.99,29.0,5353
SOCIOL,81,4.41,5.37,20.0,1590
FRSEMR,49,4.39,2.86,10.0,490
MOD-HEB,6,4.39,7.46,8.0,45
OEB,41,4.39,4.47,24.0,974
MICROBI,4,4.37,5.67,14.0,58
PHYSICS,62,4.34,9.08,23.0,1437
ECON,114,4.33,6.56,52.0,5941
HBTM,3,4.33,5.15,22.0,65
CHEM,30,4.3,6.66,44.0,1323
MATH,81,4.3,9.05,28.0,2258
BE,8,4.28,8.58,24.0,194
LING,31,4.27,5.36,12.0,384
APPHY,20,4.26,8.4,29.0,583
STAT,52,4.25,8.01,62.0,3243
ENG-SCI,87,4.22,7.96,31.0,2662
NEC,3,4.21,5.16,12.0,36
AAAS,4,4.2,7.83,14.0,57
CELLBIO,5,4.19,3.92,23.0,115
BPH,6,4.19,3.65,11.0,67
MCB,52,4.18,6.23,34.0,1782
IMMUN,9,4.18,5.05,19.0,170
PERSIAN,7,4.17,6.8,8.0,55
COMPSCI,75,4.14,8.53,62.0,4687
NEUROBIO,7,4.13,5.68,38.0,266
LIFESCI,6,4.13,10.09,150.0,903
APMTH,26,4.11,8.63,47.0,1217
IGBO,3,4.11,5.25,8.0,25
QSE,9,4.11,8.62,21.0,190
HLTHPOL,4,4.09,2.93,14.0,56
GENED,126,4.08,4.48,101.0,12693
ESPP,15,4.07,5.5,19.0,291
BIOSTAT,15,4.06,8.71,12.0,185
BCMP,7,4.02,4.0,39.0,276
PHYSCI,6,3.94,8.72,144.0,862
MED-SCI,3,3.83,1.14,102.0,307
VIROLOGY,3,3.71,5.32,11.0,33
APCOMP,8,3.66,8.22,149.0,1191
SHBT,3,3.63,7.0,7.0,21
BBS,5,3.12,4.59,49.0,245
